"control_number","specific","generic","qty","origin","description","ship_date"
"2014433841","AFRICAN","LION",1,"ZA","TRO","2014-03-07"
"2014433841","RED","DUIKER",1,"ZA","TRO","2014-03-07"
"2014433841","VERVET","MONKEY",1,"ZA","TRO","2014-03-07"
"2014433841","CAPE","PORCUPINE",1,"ZA","TRO","2014-03-07"
"2014434104","","ARK",5452,"PH","SPR","2014-03-14"
"2014434104","","PRICKLYCOCKLE",5452,"PH","SPR","2014-03-14"
"2014434104","LITTLE BEAR","CONCH",5452,"PH","SPR","2014-03-14"
"2014434104","VIRGATE TELLIN","SHELL",5452,"PH","SPR","2014-03-14"
"2014434104","","CLAM",5452,"PH","SPR","2014-03-14"
"2014434104","CAPIZ","SHELL",5452,"PH","SPR","2014-03-14"
"2014434112","CAPIZ","SHELL",1337,"PH","SPR","2014-03-14"
"2014434120","GREAT PEARL","OYSTER",756,"IN","SPR","2014-03-13"
"2014434120","GREAT PEARL","OYSTER",456,"IN","SPR","2014-03-13"
"2014434172","","OYSTER",864,"IN","SPR","2014-03-13"
"2014434284","DIAMOND","PYTHON",40,"GB","LIV","2014-03-13"
"2014434284","BROWN WATER","PYTHON",5,"GB","LIV","2014-03-13"
"2014434303","OLIVE","FLOUNDER",92,"KR","LIV","2014-03-14"
"2014434303","WHIPARM","OCTOPUS",22,"KR","LIV","2014-03-14"
"2014434303","","SEA PINEAPPLE",10,"KR","MEA","2014-03-14"
"2014434411","","OYSTER",6804,"ID","SPR","2014-02-28"
"2014434414","","OYSTER",3376,"ID","SPR","2014-03-07"
"2014434414","","OYSTER",3010,"ID","SPR","2014-03-07"
"2014434414","","OYSTER",1494,"ID","SPR","2014-03-07"
"2014434908","GREAT PEARL","OYSTER",668,"PH","JWL","2014-03-14"
"2014434908","ABALONE","SHELL",526,"NZ","JWL","2014-03-14"
"2014434908","","OYSTER",186,"PF","JWL","2014-03-14"
"2014434908","","SEA FAN",36,"CN","JWL","2014-03-14"
"2014434908","","OYSTER",60,"PH","JWL","2014-03-14"
"2014434912","CAPIZ","SHELL",300,"PH","SPR","2014-03-18"
"2014434913","CAPIZ","SHELL",1046,"PH","SPR","2014-03-18"
"2014435090","BLUE","WILDEBEEST",1,"ZA","TRO","2014-03-10"
"2014435090","","IMPALA",1,"ZA","TRO","2014-03-10"
"2014435092","","IMPALA",2,"ZA","LPS","2014-03-10"
"2014435092","BLUE","WILDEBEEST",1,"ZA","LPL","2014-03-10"
"2014435097","BURCHELL'S","ZEBRA",1,"BW","TRO","2014-03-10"
"2014435097","DESERT","WARTHOG",1,"BW","TRO","2014-03-10"
"2014435097","","SPRINGBOK",2,"BW","TRO","2014-03-10"
"2014435097","GREATER","KUDU",2,"BW","TRO","2014-03-10"
"2014435097","","HARTEBEEST",1,"BW","TRO","2014-03-10"
"2014435097","","GEMSBOK",2,"BW","TRO","2014-03-10"
"2014435098","AFRICAN","LION",1,"ZA","TRO","2014-03-12"
"2014435098","BLUE","WILDEBEEST",1,"ZA","TRO","2014-03-12"
"2014435098","AFRICAN","BUFFALO",1,"ZA","TRO","2014-03-12"
"2014435098","","IMPALA",1,"ZA","TRO","2014-03-12"
"2014435098","GREATER","KUDU",1,"ZA","TRO","2014-03-12"
"2014435098","","BUSHBUCK",1,"ZA","TRO","2014-03-12"
"2014435098","","GEMSBOK",1,"ZA","TRO","2014-03-12"
"2014435098","","NYALA",1,"ZA","TRO","2014-03-12"
"2014435098","COMMON","WARTHOG",1,"ZA","TRO","2014-03-12"
"2014435098","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-03-12"
"2014435100","","WATERBUCK",1,"BW","TRO","2014-03-10"
"2014435100","GREATER","KUDU",1,"BW","TRO","2014-03-10"
"2014435100","","IMPALA",1,"BW","TRO","2014-03-10"
"2014435100","","GEMSBOK",1,"BW","TRO","2014-03-10"
"2014435101","BURCHELL'S","ZEBRA",2,"ZA","SKP","2014-03-12"
"2014435104","HARTMANN'S MT.","ZEBRA",1,"ZA","TRO","2014-03-11"
"2014435104","GREATER","KUDU",1,"ZA","TRO","2014-03-11"
"2014435104","","SPRINGBOK",3,"ZA","TRO","2014-03-11"
"2014435104","ROAN","ANTELOPE",1,"ZA","TRO","2014-03-11"
"2014435106","DESERT","WARTHOG",1,"BW","TRO","2014-03-10"
"2014435106","","STEENBOK",1,"BW","TRO","2014-03-10"
"2014435106","","SPRINGBOK",1,"BW","TRO","2014-03-10"
"2014435106","GREATER","KUDU",1,"BW","TRO","2014-03-10"
"2014435106","","IMPALA",1,"BW","TRO","2014-03-10"
"2014435106","","GEMSBOK",1,"BW","TRO","2014-03-10"
"2014435106","BLUE","WILDEBEEST",3,"BW","TRO","2014-03-10"
"2014435113","BLUE","WILDEBEEST",1,"BW","TRO","2014-03-10"
"2014435113","BURCHELL'S","ZEBRA",1,"BW","TRO","2014-03-10"
"2014435113","DESERT","WARTHOG",1,"BW","TRO","2014-03-10"
"2014435113","","SPRINGBOK",1,"BW","TRO","2014-03-10"
"2014435113","GREATER","KUDU",1,"BW","TRO","2014-03-10"
"2014435113","","IMPALA",1,"BW","TRO","2014-03-10"
"2014435113","","GEMSBOK",1,"BW","TRO","2014-03-10"
"2014435115","BLACK","WILDEBEEST",1,"ZA","TRO","2014-03-13"
"2014435115","AFRICAN","BUFFALO",1,"ZA","TRO","2014-03-13"
"2014435115","GREATER","KUDU",1,"ZA","TRO","2014-03-13"
"2014435116","","BLESBOK",1,"ZA","TRO","2014-03-14"
"2014435116","BLUE","WILDEBEEST",1,"ZA","TRO","2014-03-14"
"2014435116","","BUSHBUCK",1,"ZA","TRO","2014-03-14"
"2014435116","","IMPALA",2,"ZA","TRO","2014-03-14"
"2014435116","COMMON","WARTHOG",1,"ZA","TRO","2014-03-14"
"2014435119","BLUE","WILDEBEEST",1,"BW","TRO","2014-03-10"
"2014435119","BURCHELL'S","ZEBRA",1,"BW","TRO","2014-03-10"
"2014435119","","WATERBUCK",1,"BW","TRO","2014-03-10"
"2014435119","SOUTHERN AFRICAN","OSTRICH",1,"BW","TRO","2014-03-10"
"2014435119","GREATER","KUDU",1,"BW","TRO","2014-03-10"
"2014435119","","HARTEBEEST",1,"BW","TRO","2014-03-10"
"2014435119","COMMON","ELAND",1,"BW","TRO","2014-03-10"
"2014435194","PURPLE SEA","URCHIN",28800,"PH","BOD","2014-03-15"
"2014435194","","BARNACLE",3600,"PH","BOD","2014-03-15"
"2014435194","","SAND DOLLAR",126000,"PH","BOD","2014-03-15"
"2014435615","SHARPE'S","GRYSBOK",1,"ZW","TRO","2014-03-12"
"2014435615","","IMPALA",1,"ZW","TRO","2014-03-12"
"2014435615","GREATER","KUDU",2,"ZW","TRO","2014-03-12"
"2014435615","AFRICAN","BUFFALO",1,"ZW","TRO","2014-03-12"
"2014435615","CHACMA","BABOON",2,"ZW","TRO","2014-03-12"
"2014435615","NILE","CROCODILE",1,"ZW","TRO","2014-03-12"
"2014435615","","LEOPARD",1,"ZW","TRO","2014-03-12"
"2014435615","AFRICAN","LION",1,"ZW","TRO","2014-03-12"
"2014435988","COMMON","SHELDUCK",2,"ZA","TRO","2014-03-12"
"2014435988","YELLOW-BILLED","DUCK",2,"ZA","TRO","2014-03-12"
"2014435988","CAPE","PORCUPINE",1,"ZA","TRO","2014-03-12"
"2014435988","EGYPTIAN","GOOSE",2,"ZA","TRO","2014-03-12"
"2014436288","PEARL","MUSSEL",840,"CN","SPR","2014-03-20"
"2014436503","GREAT PEARL","OYSTER",107,"PH","JWL","2014-03-16"
"2014436503","ABALONE","SHELL",74,"NZ","JWL","2014-03-16"
"2014436503","","OYSTER",19,"PF","JWL","2014-03-16"
"2014436503","","OYSTER",16,"PH","JWL","2014-03-16"
"2014436507","OLIVE","FLOUNDER",154,"KR","LIV","2014-03-19"
"2014436507","","SEA PINEAPPLE",100,"KR","LIV","2014-03-19"
"2014436507","WHIPARM","OCTOPUS",15,"KR","LIV","2014-03-19"
"2014436513","AMERICAN BLACK","BEAR",1,"CA","RUG","2014-03-18"
"2014436513","AMERICAN BLACK","BEAR",1,"CA","SKU","2014-03-18"
"2014438002","CAPIZ","SHELL",2238,"ID","SPR","2014-03-23"
"2014438008","CAPIZ","SHELL",73,"ID","SPR","2014-03-23"
"2014438020","AMERICAN","MINK",234,"SE","SKI","2014-03-21"
"2014438020","AMERICAN","MINK",479,"ES","SKI","2014-03-21"
"2014438020","AMERICAN","MINK",546,"PL","SKI","2014-03-21"
"2014438020","AMERICAN","MINK",284,"NL","SKI","2014-03-21"
"2014438020","AMERICAN","MINK",272,"GR","SKI","2014-03-21"
"2014438020","AMERICAN","MINK",4,"BA","SKI","2014-03-21"
"2014438020","AMERICAN","MINK",4282,"CA","SKI","2014-03-21"
"2014438065","DOMESTIC WATER","BUFFALO",1,"AU","TRO","2014-03-18"
"2014438065","","AUROCHS",1,"AU","TRO","2014-03-18"
"2014438065","JAVAN","RUSA",1,"AU","TRO","2014-03-18"
"2014438121","GREAT PEARL","OYSTER",322,"PH","JWL","2014-03-21"
"2014438121","ABALONE","SHELL",226,"NZ","JWL","2014-03-21"
"2014438121","","OYSTER",80,"PF","JWL","2014-03-21"
"2014438121","","OYSTER",24,"PH","JWL","2014-03-21"
"2014438578","SWAN","MUSSEL",990,"CN","SPR","2014-03-24"
"2014438638","AMERICAN","MINK",3154,"SE","SKI","2014-03-22"
"2014438638","AMERICAN","MINK",1593,"ES","SKI","2014-03-22"
"2014438638","AMERICAN","MINK",453,"PL","SKI","2014-03-22"
"2014438638","AMERICAN","MINK",387,"NL","SKI","2014-03-22"
"2014438638","AMERICAN","MINK",118,"IE","SKI","2014-03-22"
"2014438638","AMERICAN","MINK",803,"GR","SKI","2014-03-22"
"2014438638","AMERICAN","MINK",4,"BA","SKI","2014-03-22"
"2014438638","AMERICAN","MINK",6584,"CA","SKI","2014-03-22"
"2014438656","COMMON","HIPPOPOTAMUS",1,"ZM","TRO","2014-03-19"
"2014438656","","HARTEBEEST",1,"ZM","TRO","2014-03-19"
"2014438656","","PUKU",1,"ZM","TRO","2014-03-19"
"2014438656","AFRICAN","BUFFALO",1,"ZM","TRO","2014-03-19"
"2014438656","","BUSHBUCK",1,"ZM","TRO","2014-03-19"
"2014438656","COMMON","WARTHOG",1,"ZM","TRO","2014-03-19"
"2014438656","","IMPALA",1,"ZM","TRO","2014-03-19"
"2014438780","","HARTEBEEST",1,"ZA","TRO","2014-03-19"
"2014438780","BLUE","WILDEBEEST",1,"ZA","TRO","2014-03-19"
"2014438780","","WATERBUCK",1,"ZA","TRO","2014-03-19"
"2014438780","","GEMSBOK",1,"ZA","TRO","2014-03-19"
"2014438780","COMMON","ELAND",1,"ZA","TRO","2014-03-19"
"2014438780","COMMON","WARTHOG",1,"ZA","TRO","2014-03-19"
"2014438780","GREATER","KUDU",1,"ZA","TRO","2014-03-19"
"2014438780","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-03-19"
"2014438780","","SPRINGBOK",4,"ZA","TRO","2014-03-19"
"2014438780","BLACK","WILDEBEEST",1,"ZA","TRO","2014-03-19"
"2014438780","","BLESBOK",1,"ZA","TRO","2014-03-19"
"2014438780","","IMPALA",1,"ZA","TRO","2014-03-19"
"2014438783","CAPE","PORCUPINE",1,"ZA","HAI","2014-03-19"
"2014438896","N. AMERICAN BROWN","BEAR",5,"CA","SKI","2014-03-21"
"2014438896","MOUNTAIN","GOAT",3,"CA","SKI","2014-03-21"
"2014438896","STONE","SHEEP",2,"CA","SKI","2014-03-21"
"2014438896","BIGHORN","SHEEP",1,"CA","SKI","2014-03-21"
"2014438896","DALL'S","SHEEP",1,"CA","SKI","2014-03-21"
"2014439328","CAPIZ","SHELL",256,"PH","SPR","2014-03-25"
"2014439330","","ELK",1,"NZ","TRO","2014-03-17"
"2014439331","GREAT PEARL","OYSTER",84,"PH","JWL","2014-03-23"
"2014439331","ABALONE","SHELL",56,"NZ","JWL","2014-03-23"
"2014439331","","OYSTER",34,"PF","JWL","2014-03-23"
"2014439331","","SEA FAN",1,"CN","JWL","2014-03-23"
"2014439331","","OYSTER",8,"PH","JWL","2014-03-23"
"2014439335","BLUE","WILDEBEEST",1,"ZA","TRO","2014-03-08"
"2014439335","COMMON","ELAND",1,"ZA","TRO","2014-03-08"
"2014439335","","IMPALA",3,"ZA","TRO","2014-03-08"
"2014439335","GREATER","KUDU",1,"ZA","TRO","2014-03-08"
"2014439335","SOUTHERN AFRICAN","OSTRICH",1,"ZA","TRO","2014-03-08"
"2014439335","COMMON","WARTHOG",1,"ZA","TRO","2014-03-08"
"2014439335","","GEMSBOK",1,"ZA","TRO","2014-03-08"
"2014439335","","BLESBOK",1,"ZA","TRO","2014-03-08"
"2014439335","BLACK","WILDEBEEST",1,"ZA","TRO","2014-03-08"
"2014439335","","HARTEBEEST",1,"ZA","TRO","2014-03-08"
"2014439335","","SPRINGBOK",1,"ZA","TRO","2014-03-08"
"2014439336","SOUTHERN AFRICAN","OSTRICH",2,"ZA","FOO","2014-03-08"
"2014439337","AFRICAN","BUFFALO",1,"ZW","TRO","2014-03-19"
"2014439342","BLACK","WILDEBEEST",1,"ZA","TRO","2014-03-24"
"2014439342","","IMPALA",1,"ZA","TRO","2014-03-24"
"2014439342","COMMON","WARTHOG",1,"ZA","TRO","2014-03-24"
"2014439342","","BLESBOK",1,"ZA","TRO","2014-03-24"
"2014439342","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-03-24"
"2014439342","GREATER","KUDU",1,"ZA","TRO","2014-03-24"
"2014439346","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-03-20"
"2014439346","COMMON","ELAND",1,"ZA","TRO","2014-03-20"
"2014439346","BLUE","WILDEBEEST",1,"ZA","TRO","2014-03-20"
"2014439346","GREATER","KUDU",1,"ZA","TRO","2014-03-20"
"2014439346","","WATERBUCK",1,"ZA","TRO","2014-03-20"
"2014439457","","OYSTER",2508,"ID","SPR","2014-03-14"
"2014439540","COMMON","ELAND",1,"ZA","TRO","2014-03-21"
"2014439540","","NYALA",1,"ZA","TRO","2014-03-21"
"2014439540","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-03-21"
"2014439540","","HARTEBEEST",1,"ZA","TRO","2014-03-21"
"2014439540","","IMPALA",1,"ZA","TRO","2014-03-21"
"2014439540","GREATER","KUDU",1,"ZA","TRO","2014-03-21"
"2014439540","","BUSHBUCK",1,"ZA","TRO","2014-03-21"
"2014439540","SOUTHERN","REEDBUCK",1,"ZA","TRO","2014-03-21"
"2014439542","BLUE","WILDEBEEST",1,"ZA","TRO","2014-03-21"
"2014439542","","BLESBOK",1,"ZA","TRO","2014-03-21"
"2014440240","SHELLS","MOLLUSCS",3000,"CN","SPR","2014-03-26"
"2014440245","AFRICAN","BUFFALO",1,"ZW","TRO","2014-03-21"
"2014440245","GREATER","KUDU",1,"ZW","TRO","2014-03-21"
"2014440248","BLUE","WILDEBEEST",1,"ZA","TRO","2014-03-21"
"2014440248","","GEMSBOK",1,"ZA","TRO","2014-03-21"
"2014440248","","IMPALA",1,"ZA","TRO","2014-03-21"
"2014440248","GREATER","KUDU",1,"ZA","TRO","2014-03-21"
"2014440248","COMMON","WARTHOG",1,"ZA","TRO","2014-03-21"
"2014440253","","IMPALA",1,"ZA","TRO","2014-03-21"
"2014440253","","BLESBOK",1,"ZA","TRO","2014-03-21"
"2014440253","","HARTEBEEST",1,"ZA","TRO","2014-03-21"
"2014440253","BUSH","DUIKER",1,"ZA","TRO","2014-03-21"
"2014440253","COMMON","WARTHOG",1,"ZA","TRO","2014-03-21"
"2014440253","","SPRINGBOK",1,"ZA","TRO","2014-03-21"
"2014440253","","NYALA",1,"ZA","TRO","2014-03-21"
"2014440253","BLACK","WILDEBEEST",1,"ZA","TRO","2014-03-21"
"2014440307","AMERICAN BLACK","BEAR",1,"CA","RUG","2014-03-26"
"2014440307","AMERICAN BLACK","BEAR",1,"CA","SKU","2014-03-26"
"2014440431","","OYSTER",182,"ID","SPR","2014-03-27"
"2014440431","","OYSTER",42000,"ID","SPR","2014-03-27"
"2014440436","TROCHA","SHELL",1428,"ID","SPR","2014-03-27"
"2014440436","TROCHA","SHELL",6485,"ID","SPR","2014-03-27"
"2014440438","TROCHA","SHELL",30720,"ID","SPR","2014-03-27"
"2014440442","PEARL","MUSSEL",110,"CN","SPR","2014-03-26"
"2014440458","","GEMSBOK",1,"NA","TRO","2014-03-22"
"2014440458","","HARTEBEEST",1,"NA","TRO","2014-03-22"
"2014440458","","SPRINGBOK",2,"NA","TRO","2014-03-22"
"2014440458","HARTMANN'S MT.","ZEBRA",1,"NA","TRO","2014-03-22"
"2014440458","","KLIPSPRINGER",1,"NA","TRO","2014-03-22"
"2014440947","OLIVE","FLOUNDER",700,"KR","LIV","2014-03-23"
"2014441066","SHELLS","MOLLUSCS",60,"XX","SPR","2014-03-24"
"2014441422","","OYSTER",5532,"CN","SPR","2014-03-28"
"2014441423","COMMON","PHEASANT",1728,"CN","FEA","2014-03-29"
"2014441423","SOUTHERN AFRICAN","OSTRICH",6336,"ZA","FEA","2014-03-29"
"2014441428","PEARL","MUSSEL",28584,"CN","SPR","2014-03-30"
"2014441428","PEARL","MUSSEL",13536,"CN","SPR","2014-03-30"
"2014441439","GREAT PEARL","OYSTER",188,"PH","JWL","2014-03-28"
"2014441439","ABALONE","SHELL",172,"NZ","JWL","2014-03-28"
"2014441439","","OYSTER",64,"PF","JWL","2014-03-28"
"2014441439","","SEA FAN",4,"CN","JWL","2014-03-28"
"2014441439","","OYSTER",6,"PH","JWL","2014-03-28"
"2014441446","GREATER","KUDU",1,"ZA","TRO","2014-03-27"
"2014441446","","GEMSBOK",1,"ZA","TRO","2014-03-27"
"2014441449","","OYSTER",17460,"ID","SPR","2014-03-27"
"2014441452","AMERICAN","MINK",319,"SE","SKI","2014-03-24"
"2014441452","AMERICAN","MINK",613,"ES","SKI","2014-03-24"
"2014441452","AMERICAN","MINK",1802,"PL","SKI","2014-03-24"
"2014441452","AMERICAN","MINK",64,"NL","SKI","2014-03-24"
"2014441452","AMERICAN","MINK",243,"GR","SKI","2014-03-24"
"2014441452","AMERICAN","MINK",4,"BA","SKI","2014-03-24"
"2014441452","AMERICAN","MINK",2754,"CA","SKI","2014-03-24"
"2014442274","","OYSTER",7968,"ID","SPR","2014-03-28"
"2014442320","","STARFISH",9912,"CN","BOD","2014-03-31"
"2014442320","LITTLE BEAR","CONCH",6312,"CN","SPR","2014-03-31"
"2014442335","BLACK","WILDEBEEST",1,"ZA","TRO","2014-03-22"
"2014442335","","SPRINGBOK",1,"ZA","TRO","2014-03-22"
"2014442335","COMMON","ELAND",1,"ZA","TRO","2014-03-22"
"2014442335","","GEMSBOK",1,"ZA","TRO","2014-03-22"
"2014442335","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-03-22"
"2014442335","GREATER","KUDU",1,"ZA","TRO","2014-03-22"
"2014442339","BLUE","WILDEBEEST",1,"ZA","TRO","2014-03-22"
"2014442339","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-03-22"
"2014442341","AMERICAN BLACK","BEAR",1,"CA","RUG","2014-03-28"
"2014442347","N. AMERICAN BROWN","BEAR",1,"CA","RUG","2014-03-27"
"2014442350","BLUE","WILDEBEEST",1,"ZA","TRO","2014-03-28"
"2014442350","","BUSH-PIG",1,"ZA","TRO","2014-03-28"
"2014442350","","CARACAL",1,"ZA","TRO","2014-03-28"
"2014442350","COMMON","ELAND",1,"ZA","TRO","2014-03-28"
"2014442350","","GEMSBOK",1,"ZA","TRO","2014-03-28"
"2014442350","","IMPALA",2,"ZA","TRO","2014-03-28"
"2014442350","GREATER","KUDU",1,"ZA","TRO","2014-03-28"
"2014442350","COMMON","WARTHOG",1,"ZA","TRO","2014-03-28"
"2014442350","","WATERBUCK",1,"ZA","TRO","2014-03-28"
"2014442353","CAPIZ","SHELL",540,"PH","SPR","2014-04-01"
"2014442427","","BLESBOK",1,"ZA","TRO","2014-03-23"
"2014442427","BLUE","WILDEBEEST",2,"ZA","TRO","2014-03-23"
"2014442427","","IMPALA",1,"ZA","TRO","2014-03-23"
"2014442427","GREATER","KUDU",1,"ZA","TRO","2014-03-23"
"2014442427","","HARTEBEEST",1,"ZA","TRO","2014-03-23"
"2014442427","COMMON","WARTHOG",1,"ZA","TRO","2014-03-23"
"2014442427","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-03-23"
"2014442428","BLUE","WILDEBEEST",2,"ZA","TRO","2014-03-23"
"2014442428","","IMPALA",2,"ZA","TRO","2014-03-23"
"2014442428","GREATER","KUDU",2,"ZA","TRO","2014-03-23"
"2014442428","","NYALA",1,"ZA","TRO","2014-03-23"
"2014442428","COMMON","WARTHOG",3,"ZA","TRO","2014-03-23"
"2014442428","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-03-23"
"2014442428","BLACK","WILDEBEEST",2,"ZA","TRO","2014-03-23"
"2014442428","","SPRINGBOK",4,"ZA","TRO","2014-03-23"
"2014442428","","GEMSBOK",1,"ZA","TRO","2014-03-23"
"2014442848","RED","KANGAROO",50,"AU","SKP","2014-03-28"
"2014442848","EASTERN GREY","KANGAROO",69,"AU","SKP","2014-03-28"
"2014442948","GREAT PEARL","OYSTER",179,"PH","JWL","2014-03-30"
"2014442948","ABALONE","SHELL",105,"NZ","JWL","2014-03-30"
"2014442948","","OYSTER",18,"PF","JWL","2014-03-30"
"2014442948","","SEA FAN",14,"CN","JWL","2014-03-30"
"2014442948","","OYSTER",2,"PH","JWL","2014-03-30"
"2014443017","CAPIZ","SHELL",180,"PH","SPR","2014-04-01"
"2014443538","COMMON","ELAND",1,"BW","TRO","2014-03-27"
"2014443538","DESERT","WARTHOG",1,"BW","TRO","2014-03-27"
"2014443542","DISCUS","FISH",25,"TH","LIV","2014-04-01"
"2014443565","CRABS,LOBSTERS,","CRUSTACEANS",109,"PH","LIV","2014-04-01"
"2014443565","SHELLS","MOLLUSCS",30,"PH","LIV","2014-04-01"
"2014443587","HARTMANN'S MT.","ZEBRA",2,"NA","TRO","2014-03-22"
"2014443587","GREATER","KUDU",1,"NA","TRO","2014-03-22"
"2014443587","","GEMSBOK",2,"NA","TRO","2014-03-22"
"2014443587","DESERT","WARTHOG",1,"NA","TRO","2014-03-22"
"2014443587","BLACK","WILDEBEEST",1,"NA","TRO","2014-03-22"
"2014443590","HARTMANN'S MT.","ZEBRA",1,"NA","TRO","2014-03-22"
"2014443590","","GEMSBOK",2,"NA","TRO","2014-03-22"
"2014443590","","HARTEBEEST",1,"NA","TRO","2014-03-22"
"2014443590","DESERT","WARTHOG",1,"NA","TRO","2014-03-22"
"2014443590","BLACK","WILDEBEEST",1,"NA","TRO","2014-03-22"
"2014443592","","BLESBOK",1,"NA","TRO","2014-03-22"
"2014443592","","IMPALA",1,"NA","TRO","2014-03-22"
"2014443592","GREATER","KUDU",1,"NA","TRO","2014-03-22"
"2014443592","","GEMSBOK",1,"NA","TRO","2014-03-22"
"2014443592","","HARTEBEEST",1,"NA","TRO","2014-03-22"
"2014443592","","SPRINGBOK",2,"NA","TRO","2014-03-22"
"2014443592","","STEENBOK",1,"NA","TRO","2014-03-22"
"2014443592","DESERT","WARTHOG",1,"NA","TRO","2014-03-22"
"2014443592","BLACK","WILDEBEEST",1,"NA","TRO","2014-03-22"
"2014443592","SABLE","ANTELOPE",1,"NA","TRO","2014-03-22"
"2014443592","","WATERBUCK",1,"NA","TRO","2014-03-22"
"2014443593","SABLE","ANTELOPE",1,"NA","TRO","2014-03-22"
"2014443599","AFRICAN","BUFFALO",2,"ZW","TRO","2014-03-26"
"2014443599","CHACMA","BABOON",1,"ZW","TRO","2014-03-26"
"2014443599","","STEENBOK",1,"ZW","TRO","2014-03-26"
"2014444045","GREAT PEARL","OYSTER",533,"VN","SPR","2014-04-03"
"2014444049","","OYSTER",96,"IN","SPR","2014-04-03"
"2014444223","","OYSTER",12996,"ID","SPR","2014-03-27"
"2014444386","AFRICAN","BUFFALO",1,"ZW","TRO","2014-03-31"
"2014444386","AFRICAN","CIVET",1,"ZW","TRO","2014-03-31"
"2014444386","COMMON","GENET",1,"ZW","TRO","2014-03-31"
"2014444386","BURCHELL'S","ZEBRA",1,"ZW","TRO","2014-03-31"
"2014444388","BURCHELL'S","ZEBRA",4,"ZW","SKP","2014-03-31"
"2014444749","SWAN","MUSSEL",3180,"CN","SPR","2014-04-04"
"2014444749","","OYSTER",1908,"CN","SPR","2014-04-04"
"2014444825","","OYSTER",22488,"ID","SPR","2014-04-01"
"2014445083","","MOOSE",12,"CA","HOR","2014-03-14"
"2014445137","AFRICAN","ELEPHANT",1,"BW","TRO","2014-03-26"
"2014445674","CAPIZ","SHELL",420,"PH","SPR","2014-04-04"
"2014445863","GREAT PEARL","OYSTER",171,"PH","JWL","2014-04-04"
"2014445863","ABALONE","SHELL",125,"NZ","JWL","2014-04-04"
"2014445863","","OYSTER",17,"PF","JWL","2014-04-04"
"2014445863","","SEA FAN",11,"CN","JWL","2014-04-04"
"2014445863","","OYSTER",20,"PH","JWL","2014-04-04"
"2014445865","","OYSTER",1652,"ID","SPR","2014-03-30"
"2014446763","RADIATED RAT","SNAKE",8464,"ID","SHO","2014-04-04"
"2014446766","AMERICAN","MINK",8077,"SE","SKI","2014-04-04"
"2014446970","GREAT PEARL","OYSTER",136,"PH","JWL","2014-04-06"
"2014446970","ABALONE","SHELL",224,"NZ","JWL","2014-04-06"
"2014446970","","OYSTER",136,"PF","JWL","2014-04-06"
"2014446970","BRUSH-FOOTED","BUTTERFLY",2,"CN","JWL","2014-04-06"
"2014446970","","OYSTER",8,"PH","JWL","2014-04-06"
"2014447569","","BLESBOK",2,"ZA","TRO","2014-03-27"
"2014447569","BLUE","WILDEBEEST",1,"ZA","TRO","2014-03-27"
"2014447569","","GEMSBOK",1,"ZA","TRO","2014-03-27"
"2014447569","","IMPALA",1,"ZA","TRO","2014-03-27"
"2014447569","","NYALA",1,"ZA","TRO","2014-03-27"
"2014447569","","HARTEBEEST",1,"ZA","TRO","2014-03-27"
"2014447569","COMMON","WARTHOG",2,"ZA","TRO","2014-03-27"
"2014447576","VERVET","MONKEY",1,"ZA","TRO","2014-04-02"
"2014447576","BLUE","WILDEBEEST",1,"ZA","TRO","2014-04-02"
"2014447576","","IMPALA",1,"ZA","TRO","2014-04-02"
"2014447576","COMMON","WARTHOG",1,"ZA","TRO","2014-04-02"
"2014447576","","NYALA",2,"ZA","TRO","2014-04-02"
"2014447576","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-04-02"
"2014447582","SOUTHERN","REEDBUCK",1,"ZA","TRO","2014-04-02"
"2014447582","MOUNTAIN","REEDBUCK",1,"ZA","TRO","2014-04-02"
"2014447582","","KLIPSPRINGER",1,"ZA","TRO","2014-04-02"
"2014447582","","SPRINGBOK",1,"ZA","TRO","2014-04-02"
"2014447582","","BLESBOK",1,"ZA","TRO","2014-04-02"
"2014447584","CHACMA","BABOON",1,"ZA","TRO","2014-04-02"
"2014447584","","GIRAFFE",1,"ZA","TRO","2014-04-02"
"2014447584","GREATER","KUDU",1,"ZA","TRO","2014-04-02"
"2014447584","","BUSHBUCK",1,"ZA","TRO","2014-04-02"
"2014447584","BUSH","DUIKER",1,"ZA","TRO","2014-04-02"
"2014447584","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-04-02"
"2014447584","COMMON","WARTHOG",1,"ZA","TRO","2014-04-02"
"2014447584","","HARTEBEEST",1,"ZA","TRO","2014-04-02"
"2014447584","BLUE","WILDEBEEST",1,"ZA","TRO","2014-04-02"
"2014447584","AFRICAN","BUFFALO",1,"ZA","TRO","2014-04-02"
"2014447584","BLACK","WILDEBEEST",1,"ZA","TRO","2014-04-02"
